codigo_municipio;nombre_municipio
70771;SUCRE
7082;TOLU
70221;COVENIAS
70215;COROZAL
70001;SINCELEJO
7067;SAMPUES
70742;SINCE
70523;PALMITO
70418;LOS PALMITOS
70124;CAIMITO
70508;OVEJAS
70713;SAN ONOFRE
70473;MORROA
70235;GALERAS (NUEVA GRANADA)
70233;EL ROBLE
70708;SAN MARCOS
7011;BUENAVISTA
7023;CHALAN
70429;MAJAGUAL
70823;TOLUVIEJO
70717;SAN PEDRO
70678;SAN BENITO ABAD
70204;COLOSO (RICAURTE)
704;LA UNION
70265;GUARANDA
70702;SAN JUAN DE BETULIA
