id_grupo;nombre_grupo_etNIco;codigo_pertenencia_etNIa
220;SAN FRANCISCO;1
221;CRUZ DE MAYO;1
222;CENTRO ALEGRE;1
223;VILLA NUEVA;1
224;ALTO SANTANA;1
225;PANCHO;1
226;LA PE-ATA;1
227;CANOAS;1
228;SIn comuNIdad;1
229;PASTO;1
